cpu stats deleted,12-12-2022_17-08-35
#################### CPU STATS 12/12/2022 17:08:28 ####################
CPU,Core 0,9.1%
CPU,Core 1,9.1%
CPU,Core 2,15.2%
CPU,Core 3,9.1%
CPU,Core 4,9.1%
CPU,Core 5,12.1%
CPU,Core 6,18.2%
CPU,Core 7,15.2%
CPU,Core 8,33.3%
CPU,Core 9,15.2%
CPU,Core 10,18.2%
CPU,Core 11,36.4%
#################### CPU STATS 12/12/2022 17:08:29 ####################
CPU,Core 0,5.9%
CPU,Core 1,6.1%
CPU,Core 2,6.1%
CPU,Core 3,0.0%
CPU,Core 4,3.0%
CPU,Core 5,6.1%
CPU,Core 6,8.8%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,3.0%
CPU,Core 10,3.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:08:30 ####################
CPU,Core 0,11.4%
CPU,Core 1,0.0%
CPU,Core 2,0.0%
CPU,Core 3,3.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,9.1%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:08:32 ####################
CPU,Core 0,11.4%
CPU,Core 1,0.0%
CPU,Core 2,6.1%
CPU,Core 3,0.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,3.0%
CPU,Core 7,3.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:08:33 ####################
CPU,Core 0,0.0%
CPU,Core 1,3.0%
CPU,Core 2,3.0%
CPU,Core 3,0.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
CPU,Core 6,6.1%
CPU,Core 7,0.0%
CPU,Core 8,0.0%
CPU,Core 9,0.0%
CPU,Core 10,0.0%
CPU,Core 11,0.0%
#################### CPU STATS 12/12/2022 17:08:34 ####################
CPU,Core 0,0.0%
CPU,Core 1,3.0%
CPU,Core 2,3.0%
CPU,Core 3,3.0%
CPU,Core 4,0.0%
CPU,Core 5,0.0%
