deleted disk stats,12-12-2022_20:28:31
#################### DISK STATS 12/12/2022 20:27:56 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:27:57 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:27:58 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:00 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:01 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:02 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5647 GB
Free size,47.779 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:03 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:05 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:06 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:07 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:08 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:10 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:11 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:12 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:14 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:15 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:16 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:17 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:19 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:20 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:21 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:22 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:24 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:25 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:26 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:27 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:29 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:30 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7792 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:31 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5645 GB
Free size,47.7792 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:33 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:34 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:35 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:28:36 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5646 GB
Free size,47.7791 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:29:27 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5643 GB
Free size,47.7794 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:29:28 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5643 GB
Free size,47.7794 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:29:29 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5643 GB
Free size,47.7794 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:29:31 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5643 GB
Free size,47.7794 GB
Usage,90.2%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 12/12/2022 20:29:32 ####################
Partition,C:\
Total size,487.3437 GB
Used size,439.5643 GB
Free size,47.7794 GB
Usage,90.2%
---------------
