deleted memory stats,12-12-2022_20:28:26
#################### MEMORY STATS 12/12/2022 20:26:50 ####################
Total memory,15.87 GB
Available memory,3.76 GB
In use memory,12.11 GB
Memory usage,3.76%
#################### MEMORY STATS 12/12/2022 20:26:51 ####################
Total memory,15.87 GB
Available memory,3.76 GB
In use memory,12.11 GB
Memory usage,3.76%
#################### MEMORY STATS 12/12/2022 20:26:52 ####################
Total memory,15.87 GB
Available memory,3.76 GB
In use memory,12.11 GB
Memory usage,3.76%
#################### MEMORY STATS 12/12/2022 20:26:54 ####################
Total memory,15.87 GB
Available memory,3.77 GB
In use memory,12.1 GB
Memory usage,3.77%
#################### MEMORY STATS 12/12/2022 20:26:55 ####################
Total memory,15.87 GB
Available memory,3.77 GB
In use memory,12.1 GB
Memory usage,3.77%
#################### MEMORY STATS 12/12/2022 20:26:56 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:26:57 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:26:59 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:00 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:01 ####################
Total memory,15.87 GB
Available memory,3.78 GB
In use memory,12.09 GB
Memory usage,3.78%
#################### MEMORY STATS 12/12/2022 20:27:03 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:04 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:05 ####################
Total memory,15.87 GB
Available memory,3.78 GB
In use memory,12.09 GB
Memory usage,3.78%
#################### MEMORY STATS 12/12/2022 20:27:06 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.09 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:08 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:09 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:10 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.09 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:11 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:13 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:14 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:15 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:17 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:18 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
#################### MEMORY STATS 12/12/2022 20:27:19 ####################
Total memory,15.87 GB
Available memory,3.79 GB
In use memory,12.08 GB
Memory usage,3.79%
